question,answer,option,gt_option
Mary journeyed to the garden. John moved to the hallway. Daniel moved to the garden. Daniel moved to the kitchen. Daniel discarded the apple. Where was the apple before the kitchen?,garden,a)office b)hallway c)garden d)kitchen,c
Daniel travelled to the bathroom. Mary travelled to the bedroom. John moved to the hallway. John journeyed to the bedroom. John discarded the apple. Where was the apple before the bedroom?,hallway,a)garden b)kitchen c)bathroom d)office,e
John moved to the kitchen. Mary picked up the apple. Daniel grabbed the milk. Daniel travelled to the bedroom. Daniel went back to the office. Where was the milk before the office?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Daniel travelled to the kitchen. Mary journeyed to the hallway. Mary journeyed to the garden. Mary went to the office. Mary put down the milk. Where was the milk before the office?,garden,a)garden b)office c)hallway d)kitchen,a
Sandra went to the garden. Sandra took the milk. Sandra went to the garden. Sandra travelled to the hallway. Sandra dropped the football. Where was the football before the hallway?,garden,a)office b)hallway c)garden d)kitchen,c
Sandra journeyed to the hallway. John picked up the milk. Daniel went to the bathroom. Daniel went back to the office. Daniel dropped the milk. Where was the milk before the office?,bathroom,a)garden b)kitchen c)hallway d)office,e
John travelled to the bedroom. Sandra went to the bathroom. Daniel took the football. Daniel moved to the kitchen. Daniel went back to the bathroom. Where was the football before the bathroom?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
John went to the office. John went back to the bedroom. Sandra went back to the bathroom. Sandra journeyed to the kitchen. Sandra dropped the milk. Where was the milk before the kitchen?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
Daniel moved to the bathroom. Mary travelled to the garden. Sandra journeyed to the bedroom. Sandra moved to the kitchen. Sandra put down the apple. Where was the apple before the kitchen?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
John went back to the office. Sandra moved to the bathroom. John took the apple. John went back to the hallway. John went to the garden. Where was the apple before the garden?,hallway,a)office b)bathroom c)hallway d)kitchen,c
Sandra moved to the garden. Sandra went to the office. Mary journeyed to the bathroom. Mary travelled to the hallway. Mary put down the apple. Where was the apple before the hallway?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Mary got the milk. Mary moved to the office. Mary moved to the kitchen. Mary travelled to the office. Mary dropped the milk. Where was the milk before the office?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
John picked up the football there. Sandra went back to the kitchen. John travelled to the bathroom. John moved to the kitchen. Where was the football before the kitchen?,bathroom,a)hallway b)bathroom c)garden d)bedroom,b
Sandra went to the garden. Mary went to the garden. Mary went back to the bedroom. Mary travelled to the office. Mary put down the apple. Where was the apple before the office?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Mary got the apple. Mary picked up the apple. Sandra picked up the football. Sandra went back to the kitchen. Sandra went back to the office. Where was the football before the office?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Daniel went to the garden. Mary went back to the garden. Mary travelled to the garden. Mary went to the bedroom. Mary put down the football there. Where was the football before the bedroom?,garden,a)office b)garden c)hallway d)kitchen,b
Sandra went to the office. John journeyed to the hallway. Sandra journeyed to the office. Sandra journeyed to the kitchen. Sandra discarded the football there. Where was the football before the kitchen?,office,a)hallway b)office c)bathroom d)kitchen,b
Daniel journeyed to the kitchen. Mary journeyed to the bedroom. John got the milk. John went to the kitchen. John moved to the bedroom. Where was the milk before the bedroom?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Daniel got the football. Mary took the milk there. Mary picked up the milk. Mary moved to the garden. Mary went back to the office. Where was the milk before the office?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel went to the garden. Mary went back to the garden. Mary travelled to the garden. Mary went to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,garden,a)office b)garden c)hallway d)kitchen,b
Sandra discarded the milk. Mary moved to the bathroom. Mary took the apple. Mary travelled to the office. Mary moved to the bathroom. Where was the apple before the bathroom?,office,a)hallway b)bathroom c)kitchen d)office,d
John went to the bathroom. Mary travelled to the office. Mary went to the office. Mary went to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,office,a)hallway b)bathroom c)office d)kitchen,c
Mary went to the office. Mary grabbed the football. Sandra went back to the garden. Sandra travelled to the bedroom. Sandra put down the football. Where was the football before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
Daniel picked up the milk there. Daniel journeyed to the garden. Daniel got the football there. Daniel travelled to the kitchen. Daniel moved to the garden. Where was the football before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Sandra went back to the kitchen. John dropped the apple. John travelled to the bedroom. John journeyed to the bathroom. John left the apple. Where was the apple before the bathroom?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Daniel went to the garden. Sandra discarded the apple. Sandra went to the office. Sandra journeyed to the bedroom. Sandra left the football. Where was the football before the bedroom?,office,a)hallway b)bathroom c)kitchen d)office,d
Sandra moved to the kitchen. John journeyed to the hallway. Mary grabbed the milk. Mary went back to the bedroom. Mary went to the office. Where was the milk before the office?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
John put down the milk. Mary journeyed to the garden. Mary picked up the milk. Mary went to the bedroom. Mary moved to the kitchen. Where was the milk before the kitchen?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Mary picked up the milk. Daniel moved to the bathroom. Daniel travelled to the bedroom. Mary grabbed the football. Daniel put down the milk. Where was the milk before the bedroom?,bathroom,a)garden b)bedroom c)bathroom d)hallway,c
Sandra grabbed the milk there. Mary moved to the garden. John picked up the milk there. John moved to the garden. John moved to the bedroom. Where was the milk before the bedroom?,garden,a)office b)hallway c)kitchen d)garden,d
John took the milk. Daniel dropped the milk. Sandra grabbed the football. Sandra went to the bedroom. Sandra moved to the kitchen. Where was the football before the kitchen?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Sandra moved to the kitchen. John journeyed to the hallway. Mary went back to the bedroom. Mary went to the office. Mary dropped the milk. Where was the milk before the office?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
John put down the football. Sandra moved to the bedroom. Mary journeyed to the office. Mary moved to the bathroom. Mary discarded the milk. Where was the milk before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
Sandra moved to the kitchen. John journeyed to the hallway. Mary went back to the bedroom. Mary went to the office. Mary dropped the milk. Where was the milk before the office?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
John journeyed to the kitchen. Mary went back to the bathroom. Sandra journeyed to the garden. Sandra went back to the bathroom. Sandra put down the milk. Where was the milk before the bathroom?,garden,a)office b)garden c)hallway d)kitchen,b
John moved to the bedroom. Mary took the football there. John journeyed to the garden. John moved to the bathroom. John put down the apple. Where was the apple before the bathroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Daniel moved to the garden. Mary went back to the kitchen. Daniel journeyed to the bedroom. Daniel journeyed to the bathroom. Daniel put down the milk there. Where was the milk before the bathroom?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
Mary went back to the hallway. Mary moved to the bedroom. Mary took the football. Mary travelled to the bathroom. Mary put down the milk there. Where was the milk before the bathroom?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Daniel left the milk. Mary moved to the office. Mary got the football there. Mary moved to the garden. Mary went to the hallway. Where was the football before the hallway?,garden,a)bathroom b)kitchen c)hallway d)office,e
Mary took the apple. Sandra dropped the football. Sandra went to the office. Sandra went back to the bedroom. Sandra left the milk. Where was the milk before the bedroom?,office,a)hallway b)bathroom c)kitchen d)office,d
Daniel grabbed the football. John grabbed the apple. Daniel moved to the bathroom. Daniel travelled to the garden. Daniel put down the football there. Where was the football before the garden?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Daniel got the milk. Sandra dropped the football. Mary moved to the hallway. Mary journeyed to the kitchen. Mary dropped the milk there. Where was the milk before the kitchen?,hallway,a)office b)bathroom c)hallway d)kitchen,c
John went to the bathroom. John put down the apple. Sandra picked up the milk there. Sandra went back to the hallway. Sandra went back to the bedroom. Where was the milk before the bedroom?,hallway,a)office b)hallway c)bathroom d)kitchen,b
John got the apple. Daniel travelled to the office. Mary journeyed to the bedroom. Mary went to the office. Mary left the football. Where was the football before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Mary got the football. John journeyed to the garden. Daniel moved to the bedroom. Daniel moved to the office. Daniel left the milk. Where was the milk before the office?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
John left the apple. Sandra journeyed to the kitchen. John travelled to the bathroom. John went to the garden. John put down the apple. Where was the apple before the garden?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Daniel travelled to the bathroom. Mary travelled to the bedroom. John moved to the hallway. John journeyed to the bedroom. John put down the milk. Where was the milk before the bedroom?,hallway,a)office b)bathroom c)hallway d)kitchen,c
John grabbed the milk. Sandra grabbed the apple. John went to the bedroom. John went to the bathroom. John dropped the milk. Where was the milk before the bathroom?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
Sandra went back to the bedroom. Sandra discarded the football. Daniel journeyed to the office. Daniel moved to the kitchen. Daniel dropped the apple. Where was the apple before the kitchen?,office,a)office b)hallway c)bathroom d)kitchen,a
Mary moved to the bathroom. John went back to the garden. Mary journeyed to the bedroom. Mary travelled to the garden. Mary left the milk. Where was the milk before the garden?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Daniel moved to the office. Mary went back to the kitchen. Daniel travelled to the garden. Daniel journeyed to the bedroom. Daniel dropped the milk. Where was the milk before the bedroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Sandra went back to the kitchen. Daniel journeyed to the bathroom. John travelled to the bathroom. John moved to the kitchen. John put down the milk. Where was the milk before the kitchen?,bathroom,a)garden b)kitchen c)hallway d)office,e
John went back to the office. John went back to the bathroom. John took the football. John went back to the garden. John went to the hallway. Where was the football before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
John went back to the bathroom. John got the milk there. Mary went back to the garden. Mary journeyed to the office. Mary left the football. Where was the football before the office?,garden,a)office b)hallway c)kitchen d)garden,d
John travelled to the bedroom. Sandra went to the bathroom. Daniel moved to the kitchen. Daniel went back to the bathroom. Daniel put down the milk there. Where was the milk before the bathroom?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary got the football. Mary discarded the football. Mary picked up the football. Mary moved to the office. Mary went to the hallway. Where was the football before the hallway?,office,a)hallway b)bathroom c)kitchen d)office,d
John moved to the kitchen. John dropped the football. Sandra went to the office. Sandra went back to the bathroom. Sandra discarded the milk there. Where was the milk before the bathroom?,office,a)hallway b)bathroom c)office d)kitchen,c
Daniel took the football. John went to the bathroom. Daniel moved to the bathroom. Daniel went to the hallway. Daniel left the apple. Where was the apple before the hallway?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Daniel went back to the hallway. John grabbed the apple. Mary went back to the garden. Mary went to the hallway. Mary left the milk. Where was the milk before the hallway?,garden,a)office b)hallway c)kitchen d)garden,d
Sandra went back to the hallway. John dropped the apple. John went to the garden. John journeyed to the bathroom. John left the apple. Where was the apple before the bathroom?,garden,a)office b)hallway c)kitchen d)garden,d
Mary went to the bedroom. Daniel put down the football. John went back to the bathroom. John journeyed to the hallway. John put down the football. Where was the football before the hallway?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Daniel moved to the bathroom. Mary travelled to the garden. Sandra moved to the kitchen. Sandra moved to the garden. Sandra put down the apple. Where was the apple before the garden?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Sandra went to the hallway. John went back to the hallway. Sandra travelled to the bathroom. Sandra went back to the bedroom. Sandra left the milk. Where was the milk before the bedroom?,bathroom,a)garden b)kitchen c)hallway d)office,e
Daniel journeyed to the hallway. Sandra moved to the office. Daniel went to the garden. Daniel travelled to the hallway. Daniel discarded the football. Where was the football before the hallway?,garden,a)office b)garden c)hallway d)kitchen,b
Sandra journeyed to the garden. Sandra travelled to the bedroom. John picked up the apple there. John travelled to the office. John moved to the bedroom. Where was the apple before the bedroom?,office,a)hallway b)office c)bathroom d)kitchen,b
Mary travelled to the bathroom. Daniel journeyed to the hallway. John travelled to the office. John travelled to the kitchen. John dropped the milk. Where was the milk before the kitchen?,office,a)garden b)kitchen c)bathroom d)hallway,e
Sandra travelled to the bathroom. Daniel went back to the office. John journeyed to the hallway. John went to the garden. John discarded the football there. Where was the football before the garden?,hallway,a)garden b)kitchen c)bathroom d)office,e
Mary travelled to the office. John went back to the hallway. Mary journeyed to the hallway. Mary went back to the kitchen. Mary discarded the milk. Where was the milk before the kitchen?,hallway,a)office b)hallway c)bathroom d)kitchen,b
Daniel went back to the kitchen. John moved to the bedroom. Sandra journeyed to the hallway. Sandra went to the office. Sandra discarded the apple. Where was the apple before the office?,hallway,a)hallway b)office c)bathroom d)kitchen,a
Mary discarded the apple. John went back to the hallway. Sandra went to the garden. Sandra went to the bedroom. Sandra left the football. Where was the football before the bedroom?,garden,a)office b)garden c)hallway d)kitchen,b
John went to the bathroom. John travelled to the hallway. Daniel moved to the kitchen. Daniel journeyed to the garden. Daniel dropped the milk. Where was the milk before the garden?,kitchen,a)bathroom b)bedroom c)hallway d)office,e
Daniel grabbed the apple. John went back to the kitchen. Daniel moved to the bedroom. Daniel travelled to the office. Daniel discarded the football. Where was the football before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Sandra travelled to the office. Sandra went to the kitchen. John journeyed to the office. Sandra went to the office. Sandra discarded the milk. Where was the milk before the office?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
John got the apple. Daniel picked up the football. Daniel travelled to the hallway. Daniel went to the kitchen. Daniel put down the football. Where was the football before the kitchen?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Daniel travelled to the bedroom. Mary took the apple there. John travelled to the bathroom. John moved to the garden. John left the football there. Where was the football before the garden?,bathroom,a)office b)hallway c)bathroom d)kitchen,c
John went back to the bathroom. Sandra went back to the bedroom. John went to the kitchen. John moved to the hallway. John put down the apple. Where was the apple before the hallway?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary picked up the milk. Mary travelled to the bathroom. Sandra travelled to the bathroom. Sandra moved to the bedroom. Sandra dropped the apple. Where was the apple before the bedroom?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Sandra left the milk. Daniel grabbed the apple there. Daniel journeyed to the office. Daniel moved to the bathroom. Daniel put down the milk. Where was the milk before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
Daniel grabbed the football. John grabbed the apple. John went to the office. John journeyed to the bathroom. John discarded the apple there. Where was the apple before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
John went back to the bedroom. John went back to the garden. Sandra took the football. Sandra travelled to the garden. Sandra journeyed to the bedroom. Where was the football before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
Sandra got the football. Daniel travelled to the kitchen. Sandra moved to the hallway. Sandra went to the kitchen. Sandra discarded the football. Where was the football before the kitchen?,hallway,a)garden b)kitchen c)bathroom d)office,e
John got the apple. Daniel travelled to the office. Mary journeyed to the bedroom. Mary went to the office. Mary discarded the milk. Where was the milk before the office?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Daniel took the apple. John went back to the bathroom. John travelled to the bedroom. John moved to the office. John discarded the football. Where was the football before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Mary picked up the football. Sandra journeyed to the kitchen. Daniel journeyed to the hallway. Daniel journeyed to the bathroom. Daniel put down the apple. Where was the apple before the bathroom?,hallway,a)office b)hallway c)bathroom d)kitchen,b
Sandra picked up the football. Daniel moved to the hallway. Daniel grabbed the milk. Daniel journeyed to the office. Daniel went to the bathroom. Where was the milk before the bathroom?,office,a)hallway b)office c)bathroom d)kitchen,b
John picked up the apple. Mary journeyed to the office. Daniel went back to the office. Daniel went back to the bedroom. Daniel put down the football there. Where was the football before the bedroom?,office,a)office b)hallway c)bathroom d)kitchen,a
Mary discarded the milk. Mary travelled to the bathroom. Sandra moved to the bathroom. Sandra journeyed to the kitchen. Sandra left the milk. Where was the milk before the kitchen?,bathroom,a)garden b)kitchen c)hallway d)office,e
Daniel journeyed to the kitchen. John went back to the hallway. John travelled to the hallway. John journeyed to the kitchen. John discarded the football. Where was the football before the kitchen?,hallway,a)office b)bathroom c)hallway d)kitchen,c
John went back to the kitchen. Sandra went to the bedroom. Mary went to the garden. Mary went back to the office. Mary dropped the apple. Where was the apple before the office?,garden,a)office b)garden c)hallway d)kitchen,b
John moved to the bathroom. Sandra picked up the milk. Sandra went to the office. Sandra travelled to the bathroom. Sandra discarded the milk. Where was the milk before the bathroom?,office,a)hallway b)bathroom c)office d)kitchen,c
John went back to the garden. Mary left the football. Sandra travelled to the garden. Sandra travelled to the bathroom. Sandra left the apple. Where was the apple before the bathroom?,garden,a)office b)garden c)hallway d)kitchen,b
Mary got the football. John moved to the office. John journeyed to the garden. John travelled to the office. John put down the milk. Where was the milk before the office?,garden,a)office b)hallway c)garden d)kitchen,c
John went back to the office. Sandra went back to the bathroom. Sandra went to the hallway. John travelled to the office. Sandra put down the apple. Where was the apple before the hallway?,bathroom,a)garden b)bedroom c)bathroom d)hallway,c
Daniel went back to the bedroom. Daniel went to the bedroom. Daniel went to the kitchen. Daniel journeyed to the bedroom. Daniel left the milk. Where was the milk before the bedroom?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
John went back to the bathroom. Sandra went back to the bedroom. John travelled to the garden. John went to the office. John left the milk. Where was the milk before the office?,garden,a)office b)garden c)hallway d)kitchen,b
John went back to the kitchen. Sandra went to the bedroom. Mary travelled to the bathroom. Mary went to the garden. Mary dropped the apple. Where was the apple before the garden?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Sandra travelled to the hallway. Sandra left the football. John went back to the hallway. John moved to the garden. John discarded the milk. Where was the milk before the garden?,hallway,a)office b)bathroom c)hallway d)kitchen,c
Daniel moved to the office. Mary went back to the bathroom. Mary picked up the milk. Mary journeyed to the kitchen. Mary went to the garden. Where was the milk before the garden?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Mary went back to the kitchen. Daniel left the milk. John went to the bedroom. John went back to the office. John dropped the football. Where was the football before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Sandra discarded the milk there. John took the apple. Daniel got the football. Daniel travelled to the office. Daniel journeyed to the bedroom. Where was the football before the bedroom?,office,a)hallway b)office c)bathroom d)kitchen,b
John went back to the bedroom. Sandra journeyed to the hallway. Mary moved to the garden. Mary moved to the office. Mary put down the apple. Where was the apple before the office?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel moved to the garden. Mary took the apple. Mary went to the bedroom. Mary went back to the garden. Mary discarded the apple. Where was the apple before the garden?,bedroom,a)bedroom b)office c)hallway d)kitchen,a
John moved to the bedroom. Mary took the football there. John took the apple. John journeyed to the garden. John moved to the bathroom. Where was the apple before the bathroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Daniel put down the milk. Sandra journeyed to the bathroom. Daniel went to the bedroom. Daniel went back to the office. Daniel dropped the milk. Where was the milk before the office?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Sandra journeyed to the kitchen. Daniel got the apple. Sandra journeyed to the bathroom. Sandra journeyed to the kitchen. Sandra put down the milk. Where was the milk before the kitchen?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Mary travelled to the office. John put down the milk. Daniel went back to the bathroom. Daniel moved to the bedroom. Daniel dropped the football. Where was the football before the bedroom?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Mary journeyed to the kitchen. John got the football there. John picked up the football. John travelled to the garden. John journeyed to the office. Where was the football before the office?,garden,a)office b)garden c)hallway d)kitchen,b
Mary picked up the milk. John went back to the bathroom. Mary grabbed the milk. Mary went back to the office. Mary went to the kitchen. Where was the milk before the kitchen?,office,a)garden b)kitchen c)bathroom d)hallway,e
John journeyed to the garden. Sandra grabbed the football there. Sandra went back to the garden. Sandra moved to the kitchen. Sandra discarded the football there. Where was the football before the kitchen?,garden,a)office b)garden c)hallway d)kitchen,b
Daniel moved to the garden. Mary took the apple. Mary took the apple. Mary went to the bedroom. Mary went back to the garden. Where was the apple before the garden?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Mary moved to the bathroom. John went back to the garden. Mary journeyed to the bedroom. Mary travelled to the garden. Mary left the milk. Where was the milk before the garden?,bedroom,a)office b)hallway c)kitchen d)bedroom,d
Sandra travelled to the office. Sandra went to the kitchen. John journeyed to the office. Sandra went to the office. Sandra discarded the milk. Where was the milk before the office?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Daniel moved to the office. Mary went back to the kitchen. Daniel travelled to the garden. Daniel journeyed to the bedroom. Daniel dropped the milk. Where was the milk before the bedroom?,garden,a)garden b)office c)hallway d)kitchen,a
Daniel went back to the bedroom. Daniel went to the bedroom. Daniel went to the kitchen. Daniel journeyed to the bedroom. Daniel left the milk. Where was the milk before the bedroom?,kitchen,a)office b)hallway c)kitchen d)bedroom,c
John grabbed the football. John moved to the kitchen. John went back to the garden. Sandra got the apple. John left the football. Where was the football before the garden?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
John grabbed the apple. Daniel grabbed the apple. Mary took the football. Mary travelled to the office. Mary went to the bathroom. Where was the football before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
Mary grabbed the apple. Daniel took the apple. Sandra travelled to the hallway. Sandra went back to the kitchen. Sandra put down the football. Where was the football before the kitchen?,hallway,a)hallway b)office c)bathroom d)kitchen,a
John went back to the garden. Mary left the football. Mary went back to the kitchen. Mary went back to the office. Mary dropped the milk. Where was the milk before the office?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary moved to the bathroom. John went back to the garden. Mary journeyed to the bedroom. Mary travelled to the garden. Mary left the milk. Where was the milk before the garden?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Mary took the football. Daniel went to the garden. Daniel went to the bedroom. Daniel travelled to the kitchen. Daniel discarded the apple. Where was the apple before the bedroom?,garden,a)bathroom b)bedroom c)garden d)hallway,c
John picked up the apple. Mary journeyed to the office. Daniel went to the garden. Daniel journeyed to the office. Daniel put down the football there. Where was the football before the office?,garden,a)bathroom b)kitchen c)hallway d)office,e
Sandra travelled to the bathroom. Daniel went to the kitchen. John journeyed to the office. John went back to the bathroom. John dropped the milk there. Where was the milk before the bathroom?,office,a)office b)hallway c)bathroom d)kitchen,a
John went back to the bathroom. Daniel grabbed the football. Daniel travelled to the hallway. John left the milk there. Daniel travelled to the bathroom. Where was the football before the bathroom?,hallway,a)kitchen b)bathroom c)bedroom d)garden,e
Sandra picked up the football. Daniel went back to the bedroom. Daniel journeyed to the kitchen. Daniel went to the hallway. Daniel dropped the milk. Where was the milk before the hallway?,kitchen,a)kitchen b)office c)hallway d)bedroom,a
Mary went back to the hallway. Daniel moved to the office. John moved to the bedroom. John moved to the kitchen. John left the football. Where was the football before the kitchen?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
John went back to the hallway. Sandra went back to the office. Sandra travelled to the hallway. Sandra went to the office. Sandra left the apple. Where was the apple before the office?,hallway,a)office b)bathroom c)kitchen d)hallway,d
Daniel left the milk. Mary moved to the office. Mary travelled to the bathroom. Mary went back to the garden. Mary left the apple. Where was the apple before the garden?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
John went to the hallway. Sandra went to the kitchen. Daniel picked up the milk there. Daniel travelled to the bathroom. Daniel went to the hallway. Where was the milk before the hallway?,bathroom,a)bathroom b)office c)hallway d)kitchen,a
Mary got the football. John journeyed to the garden. Daniel grabbed the milk there. Daniel went back to the office. Daniel moved to the bedroom. Where was the milk before the bedroom?,office,a)garden b)kitchen c)bathroom d)hallway,e
John picked up the football there. John travelled to the bathroom. John moved to the kitchen. Daniel went to the hallway. John put down the football. Where was the football before the kitchen?,bathroom,a)office b)hallway c)kitchen d)bathroom,d
Sandra moved to the hallway. Daniel travelled to the hallway. John went back to the office. John went back to the bedroom. John discarded the milk. Where was the milk before the bedroom?,office,a)garden b)kitchen c)bathroom d)hallway,e
Mary picked up the milk. Mary travelled to the bedroom. Mary picked up the football. Mary went to the bedroom. Mary went back to the office. Where was the football before the office?,bedroom,a)office b)hallway c)bedroom d)kitchen,c
Daniel left the milk. John took the milk. John went back to the bathroom. John went to the office. John discarded the milk. Where was the milk before the office?,bathroom,a)office b)bathroom c)hallway d)kitchen,b
Sandra went to the garden. Sandra got the football. Sandra went to the office. Sandra went to the hallway. Sandra left the football. Where was the football before the hallway?,office,a)garden b)kitchen c)bathroom d)hallway,e
Mary went back to the bathroom. Daniel got the football. Sandra went back to the bathroom. Sandra went back to the kitchen. Sandra dropped the apple there. Where was the apple before the kitchen?,bathroom,a)garden b)kitchen c)hallway d)office,e
Sandra discarded the apple. Sandra travelled to the office. Sandra moved to the office. Sandra moved to the kitchen. Sandra put down the apple. Where was the apple before the kitchen?,office,a)hallway b)bathroom c)office d)kitchen,c
Daniel travelled to the bathroom. Sandra travelled to the bedroom. Daniel journeyed to the hallway. Daniel went back to the bedroom. Daniel discarded the milk. Where was the milk before the bedroom?,hallway,a)garden b)kitchen c)bathroom d)office,e
Sandra went back to the bathroom. Sandra moved to the bathroom. Sandra went to the garden. Sandra went back to the bathroom. Sandra put down the football. Where was the football before the bathroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Mary went back to the garden. Sandra journeyed to the garden. Daniel picked up the apple. Daniel moved to the office. Daniel journeyed to the bedroom. Where was the apple before the bedroom?,office,a)hallway b)bathroom c)kitchen d)office,d
Sandra travelled to the bathroom. Mary moved to the bedroom. Daniel went back to the kitchen. Daniel moved to the garden. Daniel put down the milk. Where was the milk before the garden?,kitchen,a)office b)hallway c)bedroom d)kitchen,d
Daniel journeyed to the garden. Sandra travelled to the hallway. John travelled to the bedroom. John travelled to the office. John dropped the milk there. Where was the milk before the office?,bedroom,a)bathroom b)kitchen c)hallway d)office,e
Mary left the apple. Mary moved to the hallway. Daniel went to the bedroom. Daniel moved to the kitchen. Daniel left the football. Where was the football before the kitchen?,bedroom,a)office b)bedroom c)hallway d)kitchen,b
Mary went back to the office. Sandra took the apple. John moved to the garden. John travelled to the bedroom. John dropped the football. Where was the football before the bedroom?,garden,a)office b)hallway c)garden d)kitchen,c
Mary went to the bedroom. Mary got the apple. Daniel moved to the bathroom. Daniel moved to the bedroom. Daniel dropped the football. Where was the football before the bedroom?,bathroom,a)garden b)kitchen c)hallway d)office,e
Sandra moved to the bedroom. Sandra left the milk. Daniel got the milk. Daniel went to the kitchen. Daniel went back to the garden. Where was the milk before the garden?,kitchen,a)office b)kitchen c)hallway d)bedroom,b
Mary put down the apple. Sandra picked up the apple there. Daniel went back to the garden. Daniel went to the bedroom. Daniel left the apple. Where was the apple before the bedroom?,garden,a)bathroom b)kitchen c)hallway d)office,e
Sandra went back to the bathroom. Sandra moved to the bathroom. Sandra journeyed to the bathroom. Sandra journeyed to the office. Sandra put down the apple. Where was the apple before the office?,bathroom,a)garden b)kitchen c)hallway d)office,e
John picked up the apple. Mary journeyed to the office. Daniel went to the garden. Daniel journeyed to the office. Daniel left the apple there. Where was the apple before the office?,garden,a)bathroom b)kitchen c)hallway d)office,e
